subset,base_prompt,addition_prompt,type,full_prompt,placeholder_prompt,hash_id,compare_in_class_id,compare_in_class_hash,compare_out_class_id,compare_out_class_hash
places,the eiffel tower,with falling stars,train,the eiffel tower with falling stars,a place with falling stars,1c62ce27105a963c77c8fe97443fde6311d0c62910f82e5754d5b247b39dcb34,,,,
places,the eiffel tower,lit by fireworks,validation,the eiffel tower lit by fireworks,a place lit by fireworks,4b6c8bfeac17bcc48f4ee2840d0f88c367c4af8d142ac5a0b05f25079100a4b4,21,9d3de859d049b2df8ab401f27c2fceaed28389031e3bf51d7b97ff2450ec58d0,147,3bb15d4003a8ec75c391419bb54564433a428592c724eebb3356683fd1d889fa
places,the pyramids of giza,with a sunset,train,the pyramids of giza with a sunset,a place with a sunset,cc185067cbaed87b8f88ccd89b93254af0d925f231500ba68f0f03445ff1f27b,,,,
places,the pyramids of giza,with auroras,validation,the pyramids of giza with auroras,a place with auroras,5cd533fdcc9299c08f82322e40a80b9bd352847c1348feb99422dfefb5683955,35,48f63397d933e6fc4baed26d5d49ab133189d4e0952b24888a60b2b0ee3b1ab3,117,3618de0af36cb90a26cc4d98cba8fab8b0a980d73b9d62210437aa92e1e26620
places,the colosseum,covered in fog,train,the colosseum covered in fog,a place covered in fog,3d8e3d1b47808100042750d7f97c4a3783cbcd8b9b6e6d716b9a594f3067f42c,,,,
places,the colosseum,with bird flying by,validation,the colosseum with bird flying by,a place with bird flying by,68ee18482cda48aeb3541f72bda6f8b85e1c867ebf11a04fa3126b82592b32a5,15,a6ff37777f22d7057377bb8ccd4f61eb2c2f72cb21ae0836c01e470c417ed942,59,64f9b235c288fe70e6e4e8ae1ee922405501c2c47d196ad45698afe76775b28b
places,the taj mahal,with falling stars,train,the taj mahal with falling stars,a place with falling stars,3861586b830844474e34c4bdb9000a9cb01a0bcb202efae415387d35da3ea386,,,,
places,the taj mahal,in the daytime,validation,the taj mahal in the daytime,a place in the daytime,540c735ae969bff4172d5ab08081df15a42a445d122fc6875f25339e8ac15b48,25,153fe778ed87817349998764193e20af4e060eec868add461c3d6af3c5ffcc24,137,8c488e84335a760c314b1aba4bdd0eb81e7d7aea6917070b8ed3a595269cd121
places,the statue of liberty,with falling stars,train,the statue of liberty with falling stars,a place with falling stars,f565403453174a549697a1302e8332f30ccc615ea66764493d75e1306dad5637,,,,
places,the statue of liberty,under a blazing summer sun,validation,the statue of liberty under a blazing summer sun,a place under a blazing summer sun,e1c3090f1d8dc38cca66cddac9e20a3d925da037c36e37c8329eeeac95fff9e0,13,e6158f57dcb6e716afed76aa21c54666a54f7048fa70524dcb0b33ef4c97740f,109,18903d5b51d76f5579e3598d0b70aac6e40af4cbda11d1db6886fcad0fa85744
places,the great wall of china,at dawn,train,the great wall of china at dawn,a place at dawn,0f4807528b80e186d99995cd35d257f03e5e318ef8d6d4653fd3603e82be79e1,,,,
places,the great wall of china,in fire,validation,the great wall of china in fire,a place in fire,4e74aa6f448c6b15a798aeaede7befd2026b9e3afc6fc0b8e736a403cbc7be05,35,48f63397d933e6fc4baed26d5d49ab133189d4e0952b24888a60b2b0ee3b1ab3,157,a61d660175584029af472c89a7283f27086781f4304bd2638e1cdccae38f4215
