subset,item_index,extension_index,original_item,placeholder,prompt_extension,prompt_specific,prompt_placeholder
animals,0,0,a cow,an animal,as a charcoal drawing,a cow as a charcoal drawing,an animal as a charcoal drawing
animals,0,17,a cow,an animal,under the rain,a cow under the rain,an animal under the rain
animals,0,6,a cow,an animal,looking surprised,a cow looking surprised,an animal looking surprised
animals,1,17,a zebra,an animal,under the rain,a zebra under the rain,an animal under the rain
animals,1,13,a zebra,an animal,in origami style,a zebra in origami style,an animal in origami style
animals,1,7,a zebra,an animal,crying softly,a zebra crying softly,an animal crying softly
animals,2,14,a dog,an animal,made of clay,a dog made of clay,an animal made of clay
animals,2,18,a dog,an animal,inside a snow globe,a dog inside a snow globe,an animal inside a snow globe
animals,2,8,a dog,an animal,made of plastic,a dog made of plastic,an animal made of plastic
animals,3,0,a camel,an animal,as a charcoal drawing,a camel as a charcoal drawing,an animal as a charcoal drawing
animals,3,5,a camel,an animal,as a statue in an ancient temple,a camel as a statue in an ancient temple,an animal as a statue in an ancient temple
animals,3,13,a camel,an animal,in origami style,a camel in origami style,an animal in origami style
animals,4,10,a tiger,an animal,drinking water from a lake,a tiger drinking water from a lake,an animal drinking water from a lake
animals,4,8,a tiger,an animal,made of plastic,a tiger made of plastic,an animal made of plastic
animals,4,4,a tiger,an animal,as a lego sculpture,a tiger as a lego sculpture,an animal as a lego sculpture
animals,5,6,a giraffe,an animal,looking surprised,a giraffe looking surprised,an animal looking surprised
animals,5,10,a giraffe,an animal,drinking water from a lake,a giraffe drinking water from a lake,an animal drinking water from a lake
animals,5,3,a giraffe,an animal,walking along a riverbank,a giraffe walking along a riverbank,an animal walking along a riverbank
animals,6,2,a donkey,an animal,hunting for food,a donkey hunting for food,an animal hunting for food
animals,6,12,a donkey,an animal,wet after a rainstorm,a donkey wet after a rainstorm,an animal wet after a rainstorm
animals,6,3,a donkey,an animal,walking along a riverbank,a donkey walking along a riverbank,an animal walking along a riverbank
animals,7,11,a horse,an animal,playing in the mud,a horse playing in the mud,an animal playing in the mud
animals,7,19,a horse,an animal,in pixel art form,a horse in pixel art form,an animal in pixel art form
animals,7,8,a horse,an animal,made of plastic,a horse made of plastic,an animal made of plastic
animals,8,1,a wolf,an animal,looking up curiously,a wolf looking up curiously,an animal looking up curiously
animals,8,14,a wolf,an animal,made of clay,a wolf made of clay,an animal made of clay
animals,8,17,a wolf,an animal,under the rain,a wolf under the rain,an animal under the rain
animals,9,3,a penguin,an animal,walking along a riverbank,a penguin walking along a riverbank,an animal walking along a riverbank
animals,9,12,a penguin,an animal,wet after a rainstorm,a penguin wet after a rainstorm,an animal wet after a rainstorm
animals,9,2,a penguin,an animal,hunting for food,a penguin hunting for food,an animal hunting for food
animals,10,17,a lion,an animal,under the rain,a lion under the rain,an animal under the rain
animals,10,9,a lion,an animal,in a comic book style,a lion in a comic book style,an animal in a comic book style
animals,10,11,a lion,an animal,playing in the mud,a lion playing in the mud,an animal playing in the mud
animals,11,18,a frog,an animal,inside a snow globe,a frog inside a snow globe,an animal inside a snow globe
animals,11,6,a frog,an animal,looking surprised,a frog looking surprised,an animal looking surprised
animals,11,2,a frog,an animal,hunting for food,a frog hunting for food,an animal hunting for food
animals,12,1,a rabbit,an animal,looking up curiously,a rabbit looking up curiously,an animal looking up curiously
animals,12,7,a rabbit,an animal,crying softly,a rabbit crying softly,an animal crying softly
animals,12,9,a rabbit,an animal,in a comic book style,a rabbit in a comic book style,an animal in a comic book style
animals,13,2,a cat,an animal,hunting for food,a cat hunting for food,an animal hunting for food
animals,13,7,a cat,an animal,crying softly,a cat crying softly,an animal crying softly
animals,13,3,a cat,an animal,walking along a riverbank,a cat walking along a riverbank,an animal walking along a riverbank
animals,14,12,a leopard,an animal,wet after a rainstorm,a leopard wet after a rainstorm,an animal wet after a rainstorm
animals,14,8,a leopard,an animal,made of plastic,a leopard made of plastic,an animal made of plastic
animals,14,14,a leopard,an animal,made of clay,a leopard made of clay,an animal made of clay
animals,15,11,a raccoon,an animal,playing in the mud,a raccoon playing in the mud,an animal playing in the mud
animals,15,5,a raccoon,an animal,as a statue in an ancient temple,a raccoon as a statue in an ancient temple,an animal as a statue in an ancient temple
animals,15,19,a raccoon,an animal,in pixel art form,a raccoon in pixel art form,an animal in pixel art form
animals,16,11,a sheep,an animal,playing in the mud,a sheep playing in the mud,an animal playing in the mud
animals,16,6,a sheep,an animal,looking surprised,a sheep looking surprised,an animal looking surprised
animals,16,8,a sheep,an animal,made of plastic,a sheep made of plastic,an animal made of plastic
animals,17,2,a panther,an animal,hunting for food,a panther hunting for food,an animal hunting for food
animals,17,5,a panther,an animal,as a statue in an ancient temple,a panther as a statue in an ancient temple,an animal as a statue in an ancient temple
animals,17,17,a panther,an animal,under the rain,a panther under the rain,an animal under the rain
animals,18,7,a buffalo,an animal,crying softly,a buffalo crying softly,an animal crying softly
animals,18,5,a buffalo,an animal,as a statue in an ancient temple,a buffalo as a statue in an ancient temple,an animal as a statue in an ancient temple
animals,18,14,a buffalo,an animal,made of clay,a buffalo made of clay,an animal made of clay
animals,19,12,a bear,an animal,wet after a rainstorm,a bear wet after a rainstorm,an animal wet after a rainstorm
animals,19,8,a bear,an animal,made of plastic,a bear made of plastic,an animal made of plastic
animals,19,17,a bear,an animal,under the rain,a bear under the rain,an animal under the rain
celebrities,0,14,will smith,a person,standing by a window,will smith standing by a window,a person standing by a window
celebrities,0,4,will smith,a person,eyes wide with excitement,will smith eyes wide with excitement,a person eyes wide with excitement
celebrities,0,8,will smith,a person,walking in a park,will smith walking in a park,a person walking in a park
celebrities,1,4,justin bieber,a person,eyes wide with excitement,justin bieber eyes wide with excitement,a person eyes wide with excitement
celebrities,1,7,justin bieber,a person,at a train station,justin bieber at a train station,a person at a train station
celebrities,1,17,justin bieber,a person,at an art gallery,justin bieber at an art gallery,a person at an art gallery
celebrities,2,17,lionel messi,a person,at an art gallery,lionel messi at an art gallery,a person at an art gallery
celebrities,2,8,lionel messi,a person,walking in a park,lionel messi walking in a park,a person walking in a park
celebrities,2,13,lionel messi,a person,looking surprised,lionel messi looking surprised,a person looking surprised
celebrities,3,18,jennifer lopez,a person,at a coffee shop,jennifer lopez at a coffee shop,a person at a coffee shop
celebrities,3,12,jennifer lopez,a person,by the ocean during sunset,jennifer lopez by the ocean during sunset,a person by the ocean during sunset
celebrities,3,11,jennifer lopez,a person,lying on a picnic blanket,jennifer lopez lying on a picnic blanket,a person lying on a picnic blanket
celebrities,4,7,lebron james,a person,at a train station,lebron james at a train station,a person at a train station
celebrities,4,4,lebron james,a person,eyes wide with excitement,lebron james eyes wide with excitement,a person eyes wide with excitement
celebrities,4,16,lebron james,a person,sitting on the steps of a building,lebron james sitting on the steps of a building,a person sitting on the steps of a building
celebrities,5,15,morgan freeman,a person,wearing a cowboy hat,morgan freeman wearing a cowboy hat,a person wearing a cowboy hat
celebrities,5,2,morgan freeman,a person,sitting on a couch,morgan freeman sitting on a couch,a person sitting on a couch
celebrities,5,1,morgan freeman,a person,in a cozy cabin,morgan freeman in a cozy cabin,a person in a cozy cabin
celebrities,6,3,albert einstein,a person,lying in the grass,albert einstein lying in the grass,a person lying in the grass
celebrities,6,4,albert einstein,a person,eyes wide with excitement,albert einstein eyes wide with excitement,a person eyes wide with excitement
celebrities,6,5,albert einstein,a person,in a casual streetwear outfit,albert einstein in a casual streetwear outfit,a person in a casual streetwear outfit
celebrities,7,13,princess diana,a person,looking surprised,princess diana looking surprised,a person looking surprised
celebrities,7,2,princess diana,a person,sitting on a couch,princess diana sitting on a couch,a person sitting on a couch
celebrities,7,12,princess diana,a person,by the ocean during sunset,princess diana by the ocean during sunset,a person by the ocean during sunset
celebrities,8,12,mahatma gandhi,a person,by the ocean during sunset,mahatma gandhi by the ocean during sunset,a person by the ocean during sunset
celebrities,8,14,mahatma gandhi,a person,standing by a window,mahatma gandhi standing by a window,a person standing by a window
celebrities,8,16,mahatma gandhi,a person,sitting on the steps of a building,mahatma gandhi sitting on the steps of a building,a person sitting on the steps of a building
celebrities,9,8,george washington,a person,walking in a park,george washington walking in a park,a person walking in a park
celebrities,9,17,george washington,a person,at an art gallery,george washington at an art gallery,a person at an art gallery
celebrities,9,0,george washington,a person,walking down a narrow alley,george washington walking down a narrow alley,a person walking down a narrow alley
celebrities,10,3,david beckham,a person,lying in the grass,david beckham lying in the grass,a person lying in the grass
celebrities,10,17,david beckham,a person,at an art gallery,david beckham at an art gallery,a person at an art gallery
celebrities,10,8,david beckham,a person,walking in a park,david beckham walking in a park,a person walking in a park
